Applicant Details,,"Eligibility Criteria
Decision Box – Eligibility
application_647_bundle.zip,Applicant_647,DSD/KWL/MSAMB/SHG/0042111/2021,Kwale,Edible Oils,Cash books,707775273,Fail,Registration certificate not uploaded,0,No verifiable registration cert,1,Thin evidence,4,"Clear evidence of active sales (B2C 55%, B2B 25%, Exports 20%). Established product pricing and cost structure. Competes on purity and packaging quality. Some digital sales presence.",4,"Detailed and realistic plan to expand production capacity, adopt modern equipment, and access supermarket distribution. Quantified investment plans in extraction, grinding, and soap-making machinery show strong vision",5,"Fully aligned with Edible Oils (priority VC). Covers key stages: raw material sourcing, processing (oil extraction), packaging, and marketing. Contributes to value addition and import substitution.",4,Moderate inclusivity and solid green practice.,,Tier 2,0,20,80,80,100,80,0,4,16,20,15,8,63,0,63,230,
application_648_bundle.zip,Applicant_648,BN-QBSOWAWW,Kakamega,Dairy,Bank statements,718591893,Fail,"Not a priority VC, dairy farming",5,Fully registered cooperative operating for one year now,2,turnover is less than 1M,4,consistent dairy farming,4,clear goals,0,Not in any priority VC,2,Moderate inclusion and intent toward sustainability.,DQ1,,100,40,80,80,0,40,10,8,16,20,0,4,58,#N/A,0,520,
application_649_bundle.zip,Applicant_649,CS/15637,Nyamira,Dairy,Bank statements,722611024,Fail,"financial statement unverifiable, password protected",5,"Fully registered cooperative with elected officials . Governance appears structured and active, with growing membership",0,No turnover record has bankstatement has password,3,"Supplies milk to schools, hotels, and banks.Has regular collection, cooling, and distribution systems. ",3,Clearly identifies growth path—value addition through pasteurization and yogurt production. ,1,Out of scope of value chain ,3,Membership is  balanced Encourages environmentally friendly farming practices.,,Tier 1,100,0,60,60,20,60,10,0,12,15,3,6,46,0,46,406,
application_650_bundle (1).zip,Applicant_650,PVT-XYU8EX3B,Nairobi,Other,Bank statements,723110161,Fail,"Not a priority VC, printing services",3,Registered private company with verifiable operations and leadership,0,Invalid bank statement(Has password),2,"Maintains regular local B2B and B2C  sales to engineers, planners, and law firms.",3,"Clear direction aims to upgrade production capacity, expand into branding for corporate clients, and enhance marketing.",0,"Operates in general printing and ICT sales, which is not a KJET priority value chain ",3," near gender balance (2 women, 3 men). Adopts multiple green practices",,Tier 2,60,0,40,60,0,60,6,0,8,15,0,6,35,0,35,477,
application_651_bundle.zip,Applicant_651,ASS RA-JRS6N7,Kwale,Other,Mpesa Statements,720229908,Fail,"Not a priority VC, juakali and cosmetic services",4,Registered for 10 months,2,Turnover <1M,3,"Steady local B2B (40%) and B2C (60%) sales, but lacks structured market channels or digital presence. No mention of formal buyers or quality certification.",2,"Growth goal (“to improve living standards”) is vague. Investment needs are identified (machines, capital), but plan lacks timelines, budgets, or risk management details.",0,Not in priority VC,2,Moderate inclusivity and aspirational sustainability practices.,,Tier 2,80,40,60,40,0,40,8,8,12,10,0,4,42,0,42,440,
application_652_bundle.zip,Applicant_652,CS/26641,Turkana,Blue Economy,Bank statements,704302683,Pass,All documents presented,5,"Formally registered for over three years, strong financial governance, and functioning leadership.",5,Turnover consistently ≥10M with positive profits and electronic accounting system.,5,Sustained export demand and diversified customer base demonstrate competitiveness.,4,"Well-articulated business case with specific investments and measurable outcomes, but limited budgeting detail.",5,"Acts as an integrated aggregator, financial intermediary, and exporter.",4,Balanced inclusion and adoption of renewable energy practices.,,Tier 1,100,100,100,80,100,80,10,20,20,20,15,8,93,0,93,17,Audrey
application_653_bundle.zip,Applicant_653,CS/19862,Isiolo,Dairy,Income statements,725867810,Pass,Documents presented,4,"Registered ≥1–3 years with clear leadership, active members, and consistent operations.",3,Turnover consistently <1M but steady; financial evidence present and verifiable.,4,Shows clear and growing market with established distribution and some value-added differentiation.,4,"Strong and realistic plan with clear targets, equipment needs, and sustainability integration, though lacking detailed execution budget or risk analysis.",5,Meets the highest level of integration and relevance to program objectives.,5,High gender representation and multiple sustainability initiatives.,,Tier 1,80,60,80,80,100,100,8,12,16,20,15,10,81,0,81,78,Audrey
application_654_bundle.zip,Applicant_654,CS/28423,Garissa,Dairy,Bank statements,717407855,Fail,"financial statement unverifiable, password protected",4,has been legally registered for 2 years,0,"financial statement unverifiable, password protected",2,Intermittent sales; weak channels; limited differentiation,2,Vague plan; limited targets; unclear resourcing,2,Peripheral role; unclear node,4,there is strong gender inclusivity with aspects of sustainability,,Tier 1,80,0,40,40,40,80,8,0,8,10,6,8,40,0,40,454,
application_655_bundle (1).zip,Applicant_655,No.44129,Vihiga,Construction,Bank statements,721782445,Pass,Necessary documentation attached,5,Registered > 3yrs,4,Turnover 5–<10M; mostly stable; bank/Mpesa + one statement.,3,"regular local sales, one main channel, emerging quality practices",3,"direction clear, but execution resources unclear",4,"priority VC, clear node participation, some linkages",5,,,Tier 1,100,80,60,60,80,100,10,16,12,15,12,10,75,0,75,125,Audrey
application_656_bundle.zip,Applicant_656,PVT-7LU575A3,Migori,Edible Oils,Bank statements,794248048,Fail,"financial statement unverifiable, password protected",2,Legally registered for less than 1 year ,0,"financial statement unverified,mpesa statement requires password.",4,"Active B2B demand,niche positioning, limited digital reach.",4,"Strong plan with Smart targets,minor gaps in detailed timelines/budget.",5,"Clear critical node,strong upstream and downstream sourcing.",5,"100& women participation,100& youth participation,sun drying,minimal food waste, exploring eco-packaging.",,Tier 2,40,0,80,80,100,100,4,0,16,20,15,10,65,0,65,206,
application_657_bundle.zip,Applicant_657,PVT-9XUV33G,Kiambu,Other,Bank statements,727060021,Fail,"Not a priority VC, beekeeping",5,Duly registered private company with clear legal standing and consistent operational record.,5,"Turnover >10M, Excellent financial performance with strong profitability and growth trajectory. ",5,"Operates within the beekeeping value chain, serving local retail, institutional, and EU export markets. Demonstrates diversified products (honey, beeswax, bee venom), formal partnerships (IPD trade fairs, EU buyer linkages), and clear differentiation via quality, certification goals, and traceability systems",5,"Demonstrates strategic planning, accountability, and high feasibility for expansion in both local and export markets.",0,"Not a priority VC, beekeeping",4,"Strong gender inclusion (≥50% women ownership, female CEO, 50% female advisory board) and youth engagement (23 of 25 employees aged 18–35). Implements multiple sustainability initiatives — agroforestry, wildlife coexistence, circular economy, and solar energy use",,Tier 1,100,100,100,100,0,80,10,20,20,25,0,8,83,0,83,65,
application_658_bundle.zip,Applicant_658,BN-MXC96J2B,Meru,Construction,Bank statements,722748300,Fail,No financial evidence from the last 12 months (2023),4,Legally registered for over 2 years with documented leadership and governance structure ,0,No financial documents attached to prove their financial position ,4,"Consistent orders, quality differential,documented buyers-growing market ",5,"Excellent, detailed, SMART and realistic plan. Aligns with world Bank's goals ",5,"operates in construction -processing, aggregation and planned expansion.",5,"100& workforce are youths,56& women members,women in leadership, green practices such as tree planting, solar hybrid,dust recycling in to bricks and erosion control ",,Tier 2,80,0,80,100,100,100,8,0,16,25,15,10,74,0,74,130,
application_659_bundle.zip,Applicant_659,PVT-GYUVMKM,Meru,Other,Bank statements,721688934,Fail,"Not a priority VC, animal feeds processing and distribution (dairy cows)",5,"Legally registered company with leadership structure (chairperson,CEO), governance appears active.",5,Turn over trend between 11M-43M all the three years provided with steady impressive growth.,4,"Established customers(Co-ops, institutions,large scale farmers), no digital sales yet but strong offline B2B and B2C channels, Quality and branding strategy in place, repeat buyers ",5,"Clear articulation of problems (high cost,low mechanisation),well developed expansion plan(new equipment, increased capacity to 20ton/day,goal of 5000 tons/year), realistic production targets, detailed value add plan, market research, pricing strategy, credit facility partnership, Co-i vestment readiness implied.",0,Deals with processing and value additions in animals feeds which does not align with the Value chains prioritised,5,"Women led,50& shareholders are women,24/36  employees are women,15 members are youths,green practices such as Xero grazing, composting,biogas promotion.",,Tier 2,100,100,80,100,0,100,10,20,16,25,0,10,81,0,81,78,
application_660_bundle.zip,Applicant_660,CS/1722,Busia,Textile,Bank statements,792007640,Pass,Necessary documentation attached,5,Registered > 3yrs,3,Turnover 1–<5M; stable or recovering; at least one statement,4,"consistent orders, multiple channels, quality control; but not yet strong multi-channel diversification",4,strong plan with minor gaps,5,"priority VC, critical node with linkages",2,,,Tier 1,100,60,80,80,100,40,10,12,16,20,15,4,77,0,77,111,Audrey
application_661_bundle (1).zip,Applicant_661,No 30of 2022,Uasin Gishu,Textile,Bank statements,708790705,Fail,No financial evidence from the last 12 months (2016),1,Unclear registration.,1,Minimal transactions.,2,Weak market links.,1,Aspirational,0,Not a priority VC.,3,1 green practice,P1,,20,20,40,20,0,60,2,4,8,5,0,6,25,5,20,512,
application_662_bundle.zip,Applicant_662,SC/GM/YLA/CBO/191,Siaya,Other,None,722689442,Fail,"Not priority VC; avacado farming, no financial evidence ",5,Registered 1–3 yrs; documented leadership,0,No financial record hence we cannot determine financial position,3,Consistent market entry through exports; documented quality assurance; growing B2B channels.,3,Strong plan; detailed problem-solution analysis,0,Out of scope of value chain ,2,strong gender balance but no youth inclusion,,Tier 1,100,0,60,60,0,40,10,0,12,15,0,4,41,0,41,446,
application_663_bundle (1).zip,Applicant_663,BN-5XCXQXA,Machakos,Other,Bank statements,794494033,Fail,Not priority VC; plastics value addition,5,Registered for 8 years,2,Turnover <1M,3,"They have established some distribution, but market is narrow; no diversified channels or contracts.",3,"Business has vision and basic execution steps, but lacks detailed timelines, quantified targets, or financial modeling for growth.",0,Not in priority VC,3,"Small workforce limits inclusivity, but sustainability measures are implemented effectively.",,Tier 2,100,40,60,60,0,60,10,8,12,15,0,6,51,0,51,358,
application_664_bundle.zip,Applicant_664,DSD/37/207/01/85936,Kakamega,Other,Bank statements,711187631,Fail,Not priority VC; dairy farming,4,legally regesterd,3,Strong turn over with financial document to verify,4,regular sales,3,"Clear growth goals: expanding dairy operations, acquiring milking and mixing equipment",4,operates in dairy farming,2,moderate inclusion,DQ1,,80,60,80,60,80,40,8,12,16,15,12,4,67,#N/A,0,520,
application_665_bundle.zip,Applicant_665,KAK/E/SSD/SHG/1413/2021,Kakamega,Other,Bank statements,722272454,Fail,Not priority VC; dairy farming,5,fuctioning governance,3,Strong turn over with financial document to verify,3,consistent sales,4,clear goals,3,"Strongly aligned to the Dairy Value Chain, focusing on production",5,Strong gender participation + multiple green practices,DQ1,,100,60,60,80,60,100,10,12,12,20,9,10,73,#N/A,0,520,
application_666_bundle.zip,Applicant_666,No.7770,Kericho,Other,None,724328026,Fail,Not priority VC; ICT training,4,registered for one year now,0,no evidence since it is protected,2,regular sales,3,clear goals,2,deals with computer training ,2,Moderate inclusion and intent toward sustainability.,P2,,80,0,40,60,40,40,8,0,8,15,6,4,41,3,38,467,
